event,parameter,station,date,min,max,mean,median,total,station_name
Matthew,atemp,nocrcmet,2016-10-05,67.82,82.04,73.4781578947368,72.95,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-06,66.74,77.36,70.926875,70.43,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-07,71.24,79.7,76.278125,77.27,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-08,68,79.7,77.313125,77.9,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-09,62.78,75.2,68.5325,67.46,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-10,53.6,69.8,61.518125,60.98,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-11,56.48,58.1,57.2635294117647,57.2,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-05,29.9728325064966,30.0318922749823,30.0097448618001,30.0023623907394,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-06,30.0023623907394,30.0614221592251,30.0383519371604,30.0318922749823,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-07,29.8547129695252,30.0023623907394,29.9451482400189,29.9433026222537,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-08,29.1164658634538,29.8547129695252,29.5261930073234,29.5446491849752,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-09,29.2345854004252,30.0318922749823,29.7381314473581,29.8251830852823,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-10,30.0318922749823,30.2681313489251,30.1736972399402,30.2090715804394,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-11,30.2681313489251,30.297661233168,30.285501869068,30.297661233168,NA,Research Creek (RC)
Matthew,intensprcp,nocrcmet,2016-10-05,0,0,0,0,NA,Research Creek (RC)
Matthew,intensprcp,nocrcmet,2016-10-06,0,0,0,0,NA,Research Creek (RC)
Matthew,intensprcp,nocrcmet,2016-10-07,0,0,0,0,NA,Research Creek (RC)
Matthew,intensprcp,nocrcmet,2016-10-08,0,0,0,0,NA,Research Creek (RC)
