event,parameter,station,date,min,max,mean,median,station_name
Matthew,cdepth,nocrcwq,2016-10-05,4.0354332,7.8412076,5.62879904736842,5.3805776,Research Creek (RC)
Matthew,cdepth,nocrcwq,2016-10-06,4.265092,7.9724412,5.99197580416667,5.987533,Research Creek (RC)
Matthew,cdepth,nocrcwq,2016-10-07,4.593176,8.0052496,6.165928675,6.1187666,Research Creek (RC)
Matthew,cdepth,nocrcwq,2016-10-08,5.1837272,9.8097116,7.53089481666667,7.4311026,Research Creek (RC)
Matthew,cdepth,nocrcwq,2016-10-09,3.3136484,7.4803152,4.960219975,4.7900264,Research Creek (RC)
Matthew,cdepth,nocrcwq,2016-10-10,4.3963256,8.2677168,6.198737075,6.233596,Research Creek (RC)
Matthew,cdepth,nocrcwq,2016-10-11,4.593176,5.8398952,5.03705435294118,4.9868768,Research Creek (RC)
Matthew,cdepth,noczbwq,2016-10-05,0.3608924,4.3635172,2.07297285263158,1.8700788,Zeke's Basin (ZB)
Matthew,cdepth,noczbwq,2016-10-06,0.4265092,4.3963256,2.3058153625,2.3129922,Zeke's Basin (ZB)
Matthew,cdepth,noczbwq,2016-10-07,0.7217848,4.5275592,2.61100183333333,2.6082678,Zeke's Basin (ZB)
Matthew,cdepth,noczbwq,2016-10-08,1.148294,6.6272968,3.71999410416667,3.6745408,Zeke's Basin (ZB)
Matthew,cdepth,noczbwq,2016-10-09,0.1312336,4.429134,1.8198409375,1.722441,Zeke's Basin (ZB)
Matthew,cdepth,noczbwq,2016-10-10,0.5905512,4.9540684,2.59972394583333,2.6410762,Zeke's Basin (ZB)
Matthew,cdepth,noczbwq,2016-10-11,1.148294,2.6902888,1.71568632941176,1.5419948,Zeke's Basin (ZB)
Matthew,chlfluor,nocrcwq,2016-10-05,1.2,4.8,3.33947368421053,3.35,Research Creek (RC)
Matthew,chlfluor,nocrcwq,2016-10-06,1.8,6,3.33854166666667,3.2,Research Creek (RC)
Matthew,chlfluor,nocrcwq,2016-10-07,1.5,5,3.12604166666667,3.15,Research Creek (RC)
Matthew,chlfluor,nocrcwq,2016-10-08,2.1,45.9,4.69166666666667,3.8,Research Creek (RC)
